question,category,options,answer,explanation
食欲を亢進（増進）させるホルモンはどれか。,基礎,a.レプチン|b.グルカゴン|c.グレリン|d.セクレチン,c,グレリンは胃から分泌され、食欲を亢進させる作用を持つ。レプチンは脂肪細胞から分泌され食欲を抑制する。
消化管粘膜下腫瘍（SMT）の精査として最も有用な検査はどれか。,臨床,a.NBI拡大観察|b.超音波内視鏡検査（EUS）|c.ルゴール染色|d.インジゴカルミン散布,b,SMTは粘膜の下にある病変であり、表面を見る通常内視鏡やNBIでは内部構造が分からない。EUSを用いることで病変の内部性状、発生層、大きさなどを詳細に評価できる。
クリップ止血法について誤っている記述はどれか。,処置,a.再出血の予防効果が高い|b.磁気共鳴画像（MRI）検査は絶対禁忌である|c.組織の壊死が少ない|d.縫縮としても利用できる,b,かつての鉄製クリップはMRI禁忌だったが、現在主流のチタン製やステンレス製クリップの多くはMRI対応（条件付き可）となっており、「絶対禁忌」という記述は誤りになりつつある（ただし製品確認は必須）。
65歳男性、吐血によるショック状態で搬送された。上部消化管内視鏡検査中に鎮静剤による血圧低下が見られた場合の対応として適切な薬剤はどれか。,薬理,a.アトロピン|b.フルマゼニル（拮抗薬）|c.プロプラノロール|d.ヘパリン,b,ベンゾジアゼピン系鎮静薬による過鎮静や呼吸抑制、血圧低下が見られた場合、拮抗薬であるフルマゼニル（アネキセート）を投与して覚醒を促す。
ビタミンについて正しい記述はどれか。,基礎,a.脂溶性ビタミンはB群とCである|b.水溶性ビタミンはA、D、E、Kである|c.体内で合成できないため食事から摂取する必要がある|d.すべて体内で合成できる,c,ビタミンは微量栄養素であり、原則として体内で合成できないため食事摂取が必要。脂溶性はD、A、K、E（だけ）、水溶性はB群、Cである。
高周波電流（電気メス）について正しい記述はどれか。,機器,a.エンドカットモードは組織の切開を行う|b.アルゴンプラズマ凝固（APC）は組織深部まで深く凝固する|c.凝固波は電圧が低く連続波である|d.対極板はバイポーラで必要である,a,エンドカットは切開と凝固を繰り返すモード。APCは浅い凝固が特徴。凝固波は高電圧・断続波。対極板はモノポーラで必要。
リドカイン（キシロカイン）スプレーの使用について誤っている記述はどれか。,薬理,a.1回の噴霧量は製品によって異なる|b.副作用にショックや中毒がある|c.高齢者では増量して使用する|d.血中濃度が上昇すると痙攣などを起こす,c,高齢者や肝機能障害患者では代謝が遅延し中毒を起こしやすいため、減量して慎重に使用する必要がある。
カルテ記載で用いられる略語と意味の組み合わせで正しいのはどれか。,管理,a.NSAIDs — 非ステロイド性抗炎症薬|b.PPI — プロトンポンプ阻害薬|c.ESD — 内視鏡的粘膜下層剥離術|d.すべての組み合わせ,d,NSAIDs（Non-Steroidal Anti-Inflammatory Drugs）、PPI（Proton Pump Inhibitor）、ESD（Endoscopic Submucosal Dissection）はいずれも正しい。
内視鏡の洗浄・消毒管理において不要な項目はどれか。,管理,a.洗浄履歴の記録|b.消毒薬の濃度管理|c.洗浄室のCO2濃度測定|d.水質管理（細菌検査等）,c,洗浄・消毒工程において、CO2濃度の測定は不要である。グルタラール等の蒸気濃度管理（環境対策）は必要だが、CO2ではない。
消化管出血の止血に使用される薬剤として正しいものはどれか。,薬理,a.トロンビン|b.高張Naエピネフリン液（HSE）|c.エタノール|d.すべての薬剤,d,トロンビンは散布して凝固を促進、HSEは局注して血管収縮と膨隆による圧迫、エタノールは局注して組織固定・脱水凝固による止血を行う。
早期食道癌（扁平上皮癌）の内視鏡診断に有用な色素はどれか。,臨床,a.インジゴカルミン|b.ヨード（ルゴール）|c.クリスタルバイオレット|d.メチレンブルー,b,食道扁平上皮癌はグリコーゲンが乏しいため、ヨード液を散布すると染まらずに不染帯となり、正常粘膜（濃染）と識別できる。
医療英語「Nausea」の意味はどれか。,基礎,a.嘔吐|b.吐き気（悪心）|c.下痢|d.胸やけ,b,Nauseaは吐き気（悪心）。Vomitingは嘔吐、Diarrheaは下痢、Heartburnは胸やけ。
消毒薬の分類において高水準消毒薬に該当するものはどれか。,管理,a.グルタラール|b.ポビドンヨード|c.塩化ベンザルコニウム|d.クロルヘキシジン,a,グルタラール、フタラール、過酢酸は高水準消毒薬。ポビドンヨード、アルコールは中水準。逆性石鹸（ベンザルコニウム）は低〜中水準。
ヘリコバクター・ピロリ除菌療法に用いられる薬剤はどれか。,薬理,a.抗ウイルス薬|b.プロトンポンプ阻害薬（PPI）と抗生物質|c.抗真菌薬|d.ステロイド薬,b,除菌療法には胃酸分泌抑制薬（PPIまたはP-CAB）と、2種類の抗生物質（アモキシシリン、クラリスロマイシン等）の併用療法が行われる。
ERCP（内視鏡的逆行性胆管膵管造影）の偶発症として最も頻度が高いものはどれか。,処置,a.出血|b.穿孔|c.急性膵炎|d.誤嚥性肺炎,c,ERCP後膵炎は最も頻度が高く重篤になりうる偶発症であり、予防策（NSAIDs、輸液等）が重要である。
大腸内視鏡検査の前処置（洗腸剤）について正しい記述はどれか。,管理,a.腸閉塞の疑いがある患者にも全量投与する|b.排泄液が透明になるまで服用する|c.前日は脂肪の多い食事を摂取する|d.脱水を防ぐため水分摂取を制限する,b,腸管内をきれいにするため、排便が透明な水様便になるまで洗腸剤を服用する。腸閉塞疑いでは穿孔リスクがあるため禁忌。
超音波内視鏡（EUS）の走査方式において、穿刺吸引術（FNA）に適しているのはどれか。,機器,a.ラジアル走査式|b.コンベックス（セクタ）走査式|c.リニア走査式（体表用）|d.Aモード,b,コンベックス走査式は超音波断層面と穿刺針の走行が同一平面上にあるため、針先をリアルタイムで確認しながら穿刺できる。ラジアルは360度観察用。
十二指腸乳頭が開口している部位はどれか。,基礎,a.十二指腸球部|b.十二指腸下行部|c.十二指腸水平部|d.空腸上部,b,主膵管と総胆管が合流する大十二指腸乳頭（ファーター乳頭）は、十二指腸下行部の内側に開口している。
内視鏡的乳頭括約筋切開術（EST）で使用する処置具はどれか。,処置,a.スネア鉗子|b.パピロトーム（弓状ナイフ）|c.ホットバイオプシー鉗子|d.バスケット鉗子,b,ESTはパピロトームを用いて乳頭を切開する。スネアはポリープ切除、バスケットは結石除去に用いる。
食道静脈瘤硬化療法（EIS）の禁忌となる病態はどれか。,処置,a.重篤な腎障害|b.高度な肝性脳症や黄疸|c.貧血|d.胃潰瘍の合併,b,重篤な肝障害（肝性脳症、黄疸、難治性腹水など）がある場合、硬化剤による肝障害の悪化や全身状態悪化のリスクがあるため禁忌となる。
内視鏡的粘膜下層剥離術（ESD）中の偶発症である穿孔に対する処置として適切なものはどれか。,処置,a.クリップによる縫縮閉鎖|b.直ちに開腹手術|c.スネアによる結紮|d.放置して経過観察,a,術中穿孔に対しては、内視鏡的にクリップを用いて穿孔部を閉鎖し、保存的治療（絶食・補液・抗生剤）を行うのが第一選択である。
経皮内視鏡的胃瘻造設術（PEG）の禁忌となる状態はどれか。,処置,a.脳卒中による嚥下障害|b.認知症による摂食困難|c.大量の腹水貯留|d.頭頸部癌による通過障害,c,大量の腹水がある場合、胃壁と腹壁を密着させることができず、腹腔内への漏出や腹膜炎のリスクが高いため禁忌である。
内視鏡スコープの操作部にあるボタン機能で、一般的に正しい組み合わせはどれか。,機器,a.青ボタン—送気・送水、赤ボタン—吸引|b.青ボタン—吸引、赤ボタン—送気・送水|c.青ボタン—写真、赤ボタン—ズーム|d.ボタン機能は固定されており変更できない,a,オリンパス製などの一般的なスコープでは、青色ボタンが送気・送水、赤色ボタンが吸引に割り当てられていることが多い。
NBI（狭帯域光観察）が診断に有用な病変の特徴はどれか。,臨床,a.粘膜下層の深部血管|b.粘膜表層の微細血管や表面構造|c.胆管結石|d.脂肪組織,b,NBIはヘモグロビンに吸収されやすい青・緑の狭帯域光を用いることで、粘膜表層の毛細血管や微細模様（Pitなど）を強調し、癌の早期発見や質的診断に有用である。
胆石の種類で最も頻度が高いものはどれか。,臨床,a.黒色石|b.ビリルビンカルシウム石|c.コレステロール石|d.脂肪酸カルシウム石,c,食生活の欧米化に伴い、現在はコレステロール結石が胆石症の中で最も高い割合を占めている。
消化管の壁構造について正しい記述はどれか。2つ選べ。,a.食道壁には漿膜がない|b.胃の固有筋層は内輪・外縦の2層構造である|c.アウエルバッハ神経叢は粘膜下層に存在する|d.粘膜筋板は粘膜層と粘膜下層の境界にある|e.小腸の粘膜上皮は重層扁平上皮である,a&d,食道は外膜に覆われており漿膜を欠きます。粘膜筋板は粘膜固有層の下にあり粘膜下層との境界をなします。胃の筋層は3層（内斜・中輪・外縦）、神経叢は筋層間（アウエルバッハ）と粘膜下層（マイスネル）、小腸上皮は単層円柱上皮です。
膵臓および関連ホルモンについて正しい記述はどれか。2つ選べ。,a.ランゲルハンス島A細胞（α細胞）はグルカゴンを分泌する|b.ランゲルハンス島B細胞（β細胞）はソマトスタチンを分泌する|c.インスリンは血糖値を低下させる|d.グルカゴンはグリコーゲン合成を促進する|e.膵液は酸性の消化液である,a&c,A細胞はグルカゴン（血糖上昇）、B細胞はインスリン（血糖低下）を分泌します。D細胞がソマトスタチンを分泌します。膵液は重炭酸イオンを含むアルカリ性です。
消化吸収と栄養素の輸送について正しい記述はどれか。2つ選べ。,a.タンパク質はアミノ酸に分解されて吸収される|b.脂肪酸（長鎖）はリンパ管（胸管）を経て静脈へ入る|c.ブドウ糖はリンパ管を通って輸送される|d.ビタミンB12は胃で吸収される|e.胆汁酸は十二指腸で吸収される,a&b,タンパク質はアミノ酸に、炭水化物は単糖類（ブドウ糖等）に分解され門脈へ入ります。脂肪はカイロミクロンとなりリンパ管（胸管）に入ります。B12と胆汁酸は回腸末端で吸収されます。
胃癌のリスクファクターや病態について正しい記述はどれか。2つ選べ。,a.ヘリコバクター・ピロリ感染は主要な原因である|b.食塩の過剰摂取はリスク因子である|c.早期胃癌の定義は腫瘍径2cm以下である|d.印環細胞癌は分化型腺癌に分類される|e.未分化型癌は高齢男性に多い,a&b,ピロリ菌感染と高塩分食は胃癌の確実なリスク因子です。早期胃癌は深達度（SMまで）で定義されます。印環細胞癌は未分化型で、若年女性にも見られます。
潰瘍性大腸炎（UC）の特徴について正しい記述はどれか。2つ選べ。,a.直腸から連続性に口側へ広がる|b.粘膜全層に炎症が及ぶ|c.血管透見像の消失やびらんが見られる|d.敷石像や縦走潰瘍が特徴的である|e.瘻孔や狭窄を形成しやすい,a&c,UCは直腸から始まる連続性のびまん性炎症で、粘膜・粘膜下層にとどまるため血管透見が消失します。全層性炎症、敷石像、瘻孔はクローン病の特徴です。
食道アカラシアについて正しい記述はどれか。2つ選べ。,a.下部食道括約筋（LES）の弛緩不全が原因である|b.嚥下障害や胸痛をきたす|c.食道癌の合併リスクは低い|d.治療の第一選択は胃全摘術である|e.高齢者にのみ発症する,a&b,アカラシアはLESが弛緩せず食道拡張をきたす疾患で、嚥下困難が主訴です。食道癌リスクは健常者より高いです。治療はバルーン拡張やPOEM（筋層切開）であり、胃全摘はしません。
肝硬変に伴う門脈圧亢進症の所見として正しいものはどれか。2つ選べ。,a.食道・胃静脈瘤|b.脾腫（脾機能亢進症）|c.左心不全|d.胆嚢収縮不全|e.十二指腸潰瘍,a&b,門脈圧亢進により側副血行路（静脈瘤）が形成され、脾臓がうっ血して腫大（血小板減少）します。
内視鏡の洗浄・消毒に使用される薬剤の特徴について正しい記述はどれか。2つ選べ。,a.酵素洗剤はタンパク質や脂質の分解に有効である|b.グルタラールは金属腐食性が非常に強い|c.過酢酸はタンパク凝固作用がない|d.アルコールは高水準消毒薬に分類される|e.フタラールは芽胞に対して数秒で有効である,a&c,酵素洗剤は有機物除去に必須です。過酢酸は凝固作用がなく低温で使用可能です。グルタラールは腐食性は比較的低いです。アルコールは中水準、フタラールは芽胞への効力は遅いです。
スポルディングの分類と内視鏡器具の取り扱いについて正しい記述はどれか。2つ選べ。,a.生検鉗子はクリティカル器具であり滅菌が必要である|b.内視鏡スコープはセミクリティカル器具であり高水準消毒が必要である|c.マウスピースはノンクリティカル器具であり洗浄のみでよい|d.処置具の再利用（リユース）は推奨されている|e.高水準消毒には塩化ベンザルコニウムを用いる,a&b,粘膜を穿刺する鉗子は滅菌（クリティカル）、粘膜に触れるスコープは高水準消毒（セミクリティカル）です。マウスピースも粘膜に触れるため高水準消毒が望ましいです。ベンザルコニウムは低水準です。
鎮静薬および拮抗薬の組み合わせで正しいものはどれか。2つ選べ。,a.ミダゾラム — フルマゼニル|b.ペチジン — ナロキソン|c.プロポフォール — アチパメゾール|d.ジアゼパム — ナロキソン|e.デクスメデトミジン — フルマゼニル,a&b,ベンゾジアゼピン系（ミダゾラム等）の拮抗薬はフルマゼニル、オピオイド（ペチジン等）の拮抗薬はナロキソンです。プロポフォールに拮抗薬はありません。
抗血栓薬服用者の内視鏡検査（生検）についてガイドライン上正しい記述はどれか。2つ選べ。,a.アスピリン単剤服用者は休薬なしで生検可能である|b.ワルファリン服用者はPT-INRが治療域内であれば生検可能である|c.DOAC（直接作用型抗凝固薬）服用者は当日の朝のみ休薬して生検する|d.すべての抗血栓薬は5日間休薬しなければならない|e.ヘパリン置換を行わないと生検できない,a&b,生検は出血低リスク手技であり、アスピリン単剤やワルファリン（INR治療域内）単剤であれば休薬不要とされています。DOACは半減期が短いため当日休薬等の対応がとられますが、一律5日休薬は誤りです。
内視鏡的電気手術（高周波治療）において正しい記述はどれか。2つ選べ。,a.モノポーラ方式では対極板の装着が必須である|b.凝固波は断続的な波形で止血効果が高い|c.切開波は電圧が低く組織深部まで凝固する|d.バイポーラ方式は電流が全身を流れる|e.スネアの通電時間は長いほど安全である,a&b,モノポーラは対極板へ電流を回収します。凝固波は断続波（休止期あり）でジュール熱による凝固・止血を行います。切開波は連続波です。
アルゴンプラズマ凝固法（APC）の特徴として正しい記述はどれか。2つ選べ。,a.非接触で通電・凝固が可能である|b.組織への深達度が浅く穿孔リスクが低い|c.対極板は不要である|d.大きなポリープの切除に適している|e.水中（血液中）でも放電できる,a&b,APCはイオン化ガスを用いた非接触凝固で、均一かつ浅い凝固層を形成します。モノポーラなので対極板は必要です。液体中では放電しません。
早期胃癌に対する内視鏡的粘膜下層剥離術（ESD）の適応（絶対適応・拡大適応）に含まれるものはどれか。2つ選べ。,a.2cmを超える潰瘍のない分化型粘膜内癌|b.3cm未満の潰瘍のある分化型粘膜内癌|c.リンパ節転移が明らかな病変|d.他臓器への転移がある病変|e.粘膜下層深部（SM2）へ浸潤した病変,a&b,リンパ節転移のリスクがないことが前提で、サイズや潰瘍の有無により適応が決まります。UL(-)ならサイズ制限なし、UL(+)なら3cm以下などが適応です。SM2以深は外科手術適応です。
内視鏡的逆行性胆管膵管造影（ERCP）の偶発症予防について正しい記述はどれか。2つ選べ。,a.ERCP後膵炎予防にNSAIDs（ジクロフェナク）坐剤が有効である|b.十分な輸液負荷が膵炎予防に推奨される|c.予防的抗菌薬投与は推奨されない|d.検査直後から食事を開始する|e.アミラーゼ値の上昇がなければ膵炎は否定できる,a&b,ガイドラインではNSAIDsの直腸投与と十分な輸液がERCP後膵炎の発症を有意に抑制するとされています。
消化管間質腫瘍（GIST）について正しい記述はどれか。2つ選べ。,a.カハール介在細胞由来の腫瘍である|b.粘膜下腫瘍（SMT）の形態をとる|c.上皮性の悪性腫瘍（癌）である|d.リンパ節転移を頻繁にきたす|e.ヘリコバクター・ピロリ除菌が第一選択である,a&b,GISTは消化管運動のペースメーカー細胞（カハール細胞）由来の間葉系腫瘍で、SMTとして発育します。治療は切除または分子標的薬です。
ビタミン欠乏症について正しい組み合わせはどれか。2つ選べ。,a.ビタミンB1 — ウェルニッケ脳症|b.ビタミンB12 — 悪性貧血|c.ビタミンC — 夜盲症|d.ビタミンD — 出血傾向|e.ビタミンK — くる病,a&b,B1欠乏は脚気・ウェルニッケ脳症、B12欠乏は巨赤芽球性貧血（悪性貧血）。C欠乏は壊血病、A欠乏は夜盲症、D欠乏はくる病/骨軟化症、K欠乏は出血傾向です。
食道静脈瘤の「赤色所見（Red Color sign）」に分類される所見はどれか。2つ選べ。,a.ミミズ腫れ様発赤（Red wale marking）|b.血豆様発赤（Cherry red spot）|c.白色調（Cw）|d.青色調（Cb）|e.連珠状（F2）,a&b,RCサインは出血リスクを示す所見で、ミミズ腫れ様（Rw）、血豆様（CRS）、赤色血栓（RTh）などがあります。色調（Cw, Cb）や形態（F1-F3）は基本分類です。
医療安全における「タイムアウト」の実施について正しい記述はどれか。2つ選べ。,a.処置開始直前にチーム全員で手を止めて行う|b.患者氏名・部位・術式などを声出し確認する|c.医師が一人で黙認すればよい|d.検査終了後に行うものである|e.緊急時は省略してよい,a&b,誤認防止のため、処置直前に全員で作業を中断し、対象患者と実施内容を共有確認するプロセスです。
コールドポリペクトミー（CSP）の特徴として正しい記述はどれか。2つ選べ。,a.高周波通電を行わないため熱損傷がない|b.遅発性出血や穿孔のリスクが低い|c.ペースメーカー患者には禁忌である|d.20mm以上の大きな病変に適している|e.クリップ縫縮が必須である,a&b,CSPは機械的切除のみを行うため、深部熱損傷による穿孔や遅発性出血が少なく、抗血栓薬服用者やペースメーカー患者にも安全に施行可能です。主に10mm未満が適応。
超音波内視鏡（EUS）の方式と特徴について正しい記述はどれか。2つ選べ。,a.ラジアル走査式は360度の全周画像が得られる|b.コンベックス走査式は穿刺吸引術（FNA）が可能である|c.ラジアル走査式は穿刺針の誘導に最適である|d.コンベックス走査式は視野が360度である|e.リニア走査式は消化管では使用されない,a&b,ラジアルは全周観察（スクリーニング）、コンベックス（セクタ）は断層面と穿刺ラインが一致するためFNAに適しています。
カプセル内視鏡検査が禁忌となる患者はどれか。2つ選べ。,a.消化管の狭窄や閉塞が疑われる患者|b.心臓ペースメーカー植込み患者（機種によるが原則確認）|c.小児患者|d.嚥下可能な高齢者|e.消化管出血の患者,a&b,カプセル滞留による腸閉塞リスクがある狭窄例は禁忌です。ペースメーカーは干渉の可能性があるため、対応機種かどうかの確認が必要です。
大腸憩室症について正しい記述はどれか。2つ選べ。,a.S状結腸に好発する|b.出血や憩室炎の原因となる|c.先天性の真性憩室が多い|d.ポリープ切除の適応となる|e.必ず癌化する,a&b,大腸憩室は後天性の仮性憩室が多く、内圧の高いS状結腸に好発します。憩室出血や憩室炎、穿孔などの合併症を起こすことがあります。
内視鏡的乳頭括約筋切開術（EST）の切開方向として推奨されるのはどれか。2つ選べ。,a.11時方向|b.12時方向|c.3時方向|d.6時方向|e.9時方向,a&b,乳頭の解剖学的構造（膵管・血管の走行）から、出血や穿孔、膵炎のリスクが最も低い「11時〜12時方向（口側）」への切開が推奨されています。
特殊光観察（NBI/BLI等）で強調される構造はどれか。2つ選べ。,a.粘膜表層の微細血管|b.粘膜表面の微細構造（ピットパターン等）|c.粘膜下層の深部血管|d.脂肪組織|e.固有筋層の厚み,a&b,短波長の狭帯域光は粘膜表層で吸収・散乱されるため、表層の毛細血管や微細な表面構造のコントラストを強調し、癌の早期発見に有用です。
経皮内視鏡的胃瘻造設術（PEG）の禁忌となる病態はどれか。2つ選べ。,a.大量の腹水貯留|b.内視鏡が通過できない咽頭・食道狭窄|c.脳血管障害後遺症|d.認知症による摂食障害|e.神経難病による嚥下障害,a&b,胃壁と腹壁を密着できない大量腹水例や、そもそも胃内にスコープを挿入できない狭窄例は造設不可能です。c,d,eは造設の適応となりえます。
消毒薬「過酢酸」の特徴として正しい記述はどれか。2つ選べ。,a.分解産物は水・酸素・酢酸であり無害である|b.タンパク凝固作用がない|c.金属腐食性が非常に強い|d.芽胞には無効である|e.使用時に遮光が必要である,a&b,過酢酸は環境負荷が低く、タンパク凝固作用がないため洗浄性に優れます。高水準消毒薬として芽胞にも有効です。
ヘリコバクター・ピロリの検査法で、内視鏡を用いない（非侵襲的）ものはどれか。2つ選べ。,a.尿素呼気試験|b.便中抗原測定|c.迅速ウレアーゼ試験|d.鏡検法|e.培養法,a&b,呼気試験や便・尿・血液検査は非侵襲的です。c,d,eは内視鏡で組織を採取する必要があります。
消化管の「粘膜筋板」に関する記述で正しいものはどれか。2つ選べ。,a.粘膜層の最下層に位置する|b.食道癌や胃癌の深達度判定（M/SM）の基準となる|c.固有筋層よりも厚い|d.神経叢が豊富に存在する|e.漿膜の直下にある,a&b,粘膜筋板は粘膜固有層と粘膜下層の間にある薄い筋層で、癌がこれを超えているか（SM浸潤）が治療方針（内視鏡か手術か）の重要な境目になります。
内視鏡室の感染対策（ゾーニング）について正しい記述はどれか。2つ選べ。,a.洗浄室は汚染区域とみなす|b.個人防護具（PPE）は汚染区域から出る際に外す|c.清潔区域と汚染区域の動線を交差させる|d.使用済みスコープは処置室で洗浄・消毒を完了する|e.休憩室でPPEを着用する,a&b,洗浄室は汚染区域です。PPEは汚染を拡散させないよう、汚染区域内で脱いでから退出します。
十二指腸の解剖について正しい記述はどれか。2つ選べ。,a.球部・下行部・水平部・上行部に区分される|b.ファーター乳頭は下行部に開口する|c.全域が腹膜内器官である|d.空腸よりケルクリングひだが発達している|e.胃酸を分泌する,a&b,十二指腸はC字型をしており、球部以外は腹膜後器官です。胆汁・膵液が出るファーター乳頭は下行部にあります。
局所麻酔薬リドカインの中毒症状として正しいものはどれか。2つ選べ。,a.初期に多弁、興奮、舌のしびれが現れる|b.進行すると意識消失、徐脈、呼吸停止に至る|c.血圧が急上昇し続ける|d.皮膚に発疹が出る（アレルギー症状）|e.高熱が出る,a&b,リドカイン中毒は血中濃度上昇による中枢神経症状（興奮→抑制）と循環抑制が特徴です。アナフィラキシー（発疹、ショック）とは区別が必要です。
食道癌のスクリーニングにおけるヨード（ルゴール）染色の判定について正しい記述はどれか。2つ選べ。,a.正常な扁平上皮は濃染する（褐色になる）|b.癌部や異型上皮は不染帯（染まらない）となる|c.癌部は黒色に染まる|d.ヨードは癌細胞に取り込まれる|e.腺癌の診断に有用である,a&b,ヨードは正常細胞内のグリコーゲンと反応します。グリコーゲンが乏しい癌部は染まらず白っぽく（不染帯）見えます。食道腺癌（バレット腺癌）には無効です。
胃底腺ポリープの特徴として正しい記述はどれか。2つ選べ。,a.ピロリ菌陰性の胃粘膜に発生しやすい|b.女性に多い|c.癌化率が非常に高い|d.萎縮性胃炎を背景とする|e.通常は切除が必要である,a&b,胃底腺ポリープはピロリ感染のない綺麗な胃（胃酸分泌過多傾向）に発生しやすく、女性に多い良性ポリープです。癌化は稀で経過観察が基本です。
内視鏡的異物除去において、緊急摘出が必要なものはどれか。2つ選べ。,a.ボタン型電池（食道停滞）|b.鋭利な異物（PTPシート、針など）|c.小さなビー玉（胃内）|d.パチンコ玉（胃内）|e.果物の種,a&b,ボタン電池は放電による穿孔リスクが高く、鋭利な異物は粘膜損傷・穿孔の危険があるため、緊急内視鏡の絶対適応です。丸く小さなものは自然排出を待つこともあります。
機能性ディスペプシア（FD）について正しい記述はどれか。2つ選べ。,a.内視鏡検査で器質的異常を認めない|b.胃もたれや心窩部痛などの症状がある|c.胃癌が原因である|d.必ずピロリ除菌で治癒する|e.手術が必要である,a&b,FDは症状があるにも関わらず、潰瘍や癌などの目に見える異常がない疾患です。酸分泌抑制薬や消化管運動機能改善薬などが用いられます。
内視鏡検査の偶発症である「穿孔」の徴候として正しいものはどれか。2つ選べ。,a.激しい腹痛|b.腹部の板状硬（筋性防御）|c.皮下気腫の出現|d.大量の下血|e.徐脈,a&c,穿孔すると消化液や空気が腹腔内に漏れ、腹膜炎による激痛や筋性防御、および皮下気腫（頸部や胸部など）が生じることがあります。
インフォームド・コンセント（IC）について正しい記述はどれか。2つ選べ。,a.患者が説明を理解し、自由意志で同意すること|b.同意はいつでも撤回可能である|c.医療者が治療方針を独断で決定すること|d.家族への説明だけで十分である|e.同意書にサインしたら撤回できない,a&b,ICは「説明と同意」であり、患者の自己決定権を保障するものです。患者はいつでも同意を撤回できます。
ERCPで使用するガイドワイヤーの役割として正しい記述はどれか。2つ選べ。,a.カテーテルや処置具を目的の胆管・膵管へ誘導する|b.造影後の胆管確保（アククセス維持）を行う|c.結石を破砕する|d.乳頭を切開する|e.胆汁を吸引する,a&b,ガイドワイヤーは「道しるべ」としてカテーテルの挿入を助け、処置具交換時に胆管深部へのアクセスを維持するために不可欠です。
内視鏡室の電気安全管理について正しい記述はどれか。2つ選べ。,a.医用電気機器は3Pプラグ（接地極付き）を使用する|b.漏れ電流によるミクロショック対策を行う|c.アースは接続しなくてよい|d.タコ足配線を推奨する|e.機器の点検は故障してから行う,a&b,患者に直接触れる機器が多いため、漏れ電流による電撃事故を防ぐための接地（アース）と定期点検が必須です。
