question,category,options,answer,explanation
大腸内視鏡検査の前処置（洗腸）において注意すべき点はどれか。2つ選べ。,a.腸閉塞疑いの患者には禁忌である|b.排便が透明になるまで行う|c.脱水予防のため水分摂取を禁止する|d.前日は高繊維食を摂取する|e.腹痛が出現しても服用を続ける,a&b,閉塞時の洗腸剤投与は穿孔を招きます。観察には便残渣のない透明な排液状態が必要です。異常時は中止します。
胆石の種類と特徴について正しい記述はどれか。2つ選べ。,a.コレステロール結石が最も多い|b.黒色石は溶血性貧血などで見られる|c.ビリルビンカルシウム石は胆嚢内のみにできる|d.脂肪酸カルシウム石が最も多い|e.胆石はすべてX線に写る,a&b,現在日本で最も多いのはコレステロール石です。黒色石はビリルビン過剰（溶血など）で生じます。ビリルビンCa石は胆管内にも生じます。
消化管アミロイドーシスの内視鏡所見はどれか。2つ選べ。,a.微細顆粒状粘膜|b.紫斑や血腫の形成（易出血性）|c.敷石像|d.多発憩室|e.巨大潰瘍,a&b,アミロイド沈着により粘膜が脆くなり、微細顆粒状の変化や、生検・接触による出血（紫斑）が見られるのが特徴です。
内視鏡的止血術のうち「機械的止血法」に分類されるものはどれか。2つ選べ。,a.クリップ法|b.EVL（内視鏡的静脈瘤結紮術）|c.局注法|d.アルゴンプラズマ凝固法|e.ヒータープローブ法,a&b,クリップやゴムバンド（EVL）などの器具で物理的に組織を縛ったり挟んだりする方法です。cは薬剤法、d/eは熱凝固法です。
脂肪肝の超音波（またはEUS）所見として正しい記述はどれか。2つ選べ。,a.肝腎コントラストの増強（肝臓が白く見える）|b.深部減衰（深部が暗くなる）|c.肝表面の凹凸不整|d.門脈の拡張|e.腹水の貯留,a&b,脂肪沈着により肝実質のエコーレベルが上昇して腎臓より白く見え（肝腎コントラスト）、超音波が減衰しやすいため深部が描出しにくくなります。
食道静脈瘤硬化療法（EIS）で使用される硬化剤はどれか。2つ選べ。,a.エタノールアミンオレート（EO）|b.ポリドカスクレロール（Aethoxysklerol）|c.生理食塩水|d.インジゴカルミン|e.ヒアルロン酸ナトリウム,a&b,EISでは血管内皮を障害し血栓閉塞させるために、EOやポリドカスクレロールなどの硬化剤を静脈瘤内に注入します。
小腸の解剖について正しい記述はどれか。2つ選べ。,a.十二指腸・空腸・回腸からなる|b.回腸にはパイエル板（リンパ小節）が多い|c.空腸は回腸より壁が薄い|d.全長は約15mである|e.大部分は後腹膜に固定されている,a&b,小腸の区分と、免疫組織であるパイエル板が回腸に多いことは重要です。全長は6-7m程度。十二指腸以外は腹膜内器官（可動性あり）です。
内視鏡的粘膜切除術（EMR）の手順として正しい記述はどれか。2つ選べ。,a.粘膜下層に生理食塩水等を局注し病変を挙上させる|b.スネアで病変を絞扼し高周波通電で切除する|c.局注せずにそのまま切除する|d.通電せずに引きちぎる|e.病変の表面だけを焼灼する,a&b,EMRは局注による挙上（リフティング）を作り、安全にスネアリングして切除する手技です。局注しない方法はコールドスネア等ですが、EMRの定義は通常局注併用です。
MRI検査における内視鏡関連の禁忌・注意点はどれか。2つ選べ。,a.磁性体を含むクリップの残存|b.カプセル内視鏡の体内滞留|c.チタン製クリップ（非磁性体）|d.プラスチックステント|e.以前の生検歴,a&b,磁性体（鉄など）は磁場で動いたり発熱するため禁忌です。カプセル内視鏡も電子機器・電池を含むため絶対禁忌です。
胃内視鏡検査における「咽頭麻酔」の目的と注意点はどれか。2つ選べ。,a.咽頭反射（オェッとなる反射）を抑制する|b.リドカイン中毒やショックに注意する|c.意識を消失させる|d.胃の蠕動を止める|e.検査後すぐに食事をしてよい,a&b,咽頭の知覚を麻痺させて苦痛と反射を和らげますが、リドカインの吸収による全身毒性（ショック・中毒）のリスク管理が必要です。
胃の解剖と機能について正しい記述はどれか。2つ選べ。,基礎,a.胃体部は胃酸を分泌する壁細胞が豊富である|b.幽門前庭部（アントルム）からはガストリンが分泌される|c.胃角部は大弯側に位置する|d.噴門は第3腰椎の高さにある|e.胃の蠕動運動は副交感神経によって抑制される,a&b,胃体部の胃底腺領域には壁細胞（酸分泌）や主細胞（ペプシン分泌）が分布します。幽門腺領域（前庭部）のG細胞からはガストリンが分泌されます。胃角は小弯側、噴門はTh11付近です。蠕動は副交感神経（迷走神経）で促進されます。
消化管ホルモンとその作用について正しい組み合わせはどれか。2つ選べ。,基礎,a.セクレチン — 膵液（重炭酸イオン）分泌促進|b.コレシストキニン（CCK） — 胆嚢収縮|c.ソマトスタチン — インスリン分泌促進|d.ガストリン — 胃酸分泌抑制|e.モチリン — 消化管運動抑制,a&b,セクレチンはS細胞から分泌され膵液分泌促進・胃酸抑制を行います。CCKはI細胞から分泌され胆嚢収縮・膵酵素分泌を促します。ソマトスタチンは分泌抑制、ガストリンは酸分泌促進、モチリンは空腹期収縮運動（MMC）を誘発します。
肝臓の解剖生理について正しい記述はどれか。2つ選べ。,基礎,a.肝動脈は機能血管であり栄養素を運ぶ|b.門脈は栄養血管であり酸素を運ぶ|c.肝臓は右葉と左葉に分かれる|d.グリソン鞘には門脈・肝動脈・胆管が走る|e.胆汁は胆嚢で作られる,c&d,肝臓は解剖学的に右葉・左葉（さらに尾状葉・方形葉）に分かれます。グリソン鞘（門脈域）には門脈・動脈・胆管の三つ組が走行します。機能血管は門脈、栄養血管は肝動脈です。胆汁は肝細胞で作られます。
ビタミン欠乏症について正しい記述はどれか。2つ選べ。,基礎,a.ビタミンB1欠乏 — 脚気・ウェルニッケ脳症|b.ビタミンB12欠乏 — 悪性貧血（巨赤芽球性貧血）|c.ビタミンC欠乏 — 夜盲症|d.ビタミンK欠乏 — くる病|e.葉酸欠乏 — 出血傾向,a&b,B1欠乏は脚気やウェルニッケ脳症、B12および葉酸欠乏は巨赤芽球性貧血（悪性貧血）の原因となります。C欠乏は壊血病、A欠乏は夜盲症、D欠乏はくる病、K欠乏は出血傾向です。
食道の生理機能について正しい記述はどれか。2つ選べ。,基礎,a.上部食道括約筋（UES）は嚥下時に弛緩する|b.下部食道括約筋（LES）は胃食道逆流を防いでいる|c.食道蠕動は逆蠕動が基本である|d.食道粘膜は吸収上皮である|e.気管の前方に位置する,a&b,嚥下時にUESが弛緩して食物を受け入れ、LESは通常収縮しており胃酸逆流を防ぎ、嚥下時のみ弛緩します。食道は気管の後方です。
ヘリコバクター・ピロリ感染に関連する疾患はどれか。2つ選べ。,臨床,a.胃MALTリンパ腫|b.特発性血小板減少性紫斑病（ITP）|c.クローン病|d.潰瘍性大腸炎|e.食道アカラシア,a&b,ピロリ菌は胃炎、胃潰瘍、胃癌、MALTリンパ腫のほか、胃外疾患としてITP（特発性血小板減少性紫斑病）との関連が認められており、除菌療法が有効です。
炎症性腸疾患（IBD）の鑑別点として正しい記述はどれか。2つ選べ。,臨床,a.潰瘍性大腸炎は直腸から連続性に病変が広がる|b.クローン病は縦走潰瘍や敷石像が特徴である|c.潰瘍性大腸炎は全層性の炎症をきたす|d.クローン病は血管透見像の消失が特徴的である|e.両者とも感染性腸炎である,a&b,UCは連続性・粘膜層主体の炎症、CDは非連続性・全層性の炎症で縦走潰瘍や敷石像を呈します。
胃ポリープについて正しい記述はどれか。2つ選べ。,臨床,a.胃底腺ポリープはピロリ菌陰性の胃に多い|b.過形成性ポリープは発赤調でピロリ菌感染胃に多い|c.胃底腺ポリープは癌化率が高い|d.過形成性ポリープは自然消失することはない|e.家族性大腸腺腫症に伴う胃ポリープは腺腫である,a&b,胃底腺ポリープはピロリ陰性の萎縮のない胃に多発する良性病変。過形成ポリープはピロリ感染（萎縮性胃炎）を背景とし、除菌により縮小・消失することがあります。
早期食道癌の内視鏡診断について正しい記述はどれか。2つ選べ。,臨床,a.ヨード（ルゴール）染色で不染帯として認識される|b.NBI拡大観察で茶褐色の異常血管（IPCL変化）が見られる|c.通常観察で隆起型となることが多い|d.インジゴカルミン散布で青染される|e.生検は禁忌である,a&b,扁平上皮癌はグリコーゲン欠乏によりヨード不染となります。NBIなどの狭帯域光観察では、上皮内血管ループ（IPCL）の形態変化やB1/B2血管などの異常血管を茶褐色に描出します。
大腸憩室の特徴として正しい記述はどれか。2つ選べ。,臨床,a.S状結腸に好発する|b.出血時は腹痛を伴わないことが多い|c.憩室炎では発熱や腹痛を伴う|d.若年者に多い|e.先天性の真性憩室が大部分である,a&c,大腸憩室は内圧の高いS状結腸に多く、炎症（憩室炎）を起こすと疼痛・発熱します。憩室出血は突然の下血をきたしますが、出血そのものによる腹痛は伴わないことが多いです（無痛性大量出血）。
高周波電流（電気メス）の原理について正しい記述はどれか。2つ選べ。,機器,a.切開波は連続した波形で組織を切開する|b.凝固波は断続的な波形で止血効果が高い|c.凝固波は電圧が低い|d.混合波は存在しない|e.ジュール熱ではなく摩擦熱を利用している,a&b,切開波は低電圧・連続波で細胞内液を沸騰させ破裂（切開）させます。凝固波は高電圧・断続波（休止期あり）で組織を脱水・変性（凝固）させます。
超音波内視鏡（EUS）のプローブ方式について正しい記述はどれか。2つ選べ。,機器,a.ラジアル走査式は360度の全周画像が得られる|b.コンベックス（セクタ）走査式は穿刺吸引術（FNA）に適している|c.リニア走査式はスクリーニング専用である|d.超音波周波数が高いほど深部まで観察できる|e.バルーン法では空気を注入する,a&b,ラジアルは位置関係把握に適した全周像、コンベックスは穿刺ラインが見えるためFNAに適します。周波数が高いほど解像度は上がりますが深達度は低下します。バルーンには脱気水を入れます。
カプセル内視鏡（小腸用）の禁忌・注意点について正しい記述はどれか。2つ選べ。,機器,a.消化管の狭窄や閉塞が疑われる場合は原則禁忌である|b.ペースメーカー装着者は機種確認が必要である|c.パテンシーカプセルは本検査の後に使用する|d.大腸癌の診断に優れている|e.生検が可能である,a&b,滞留リスクのある狭窄例は禁忌。パテンシーカプセルは開通性確認のため「事前」に使用します。現在主流のカプセルには生検機能はありません。
NBI（Narrow Band Imaging）の原理について正しい記述はどれか。2つ選べ。,機器,a.415nm（青）と540nm（緑）の狭帯域光を使用する|b.ヘモグロビンの吸光特性を利用している|c.粘膜深部の血管観察に適している|d.赤外線を利用している|e.薬剤を散布して観察する,a&b,血液中のヘモグロビンに吸収されやすい短波長の光（青・緑）を照射し、粘膜表層の血管や微細構造のコントラストを強調します。深部観察には不向きです。
内視鏡の送気・送水システムについて正しい記述はどれか。2つ選べ。,機器,a.送気ポンプから出た空気はボトル内の水を加圧する|b.スコープの送気・送水ボタンを押すと水が出る|c.ボタンの穴を塞ぐと送気される|d.水タンクの水は水道水でよい|e.CO2送気は専用の装置を必要としない,b&c,通常、ボタンの穴を指で塞ぐと送気され、ボタンを深く押し込むと送水されます。タンクの水は滅菌水が推奨され、毎日交換します。
鎮静薬プロポフォールの特徴として正しい記述はどれか。2つ選べ。,薬理,a.作用発現が速く覚醒も速やかである|b.呼吸抑制や血圧低下のリスクがある|c.特異的な拮抗薬（リバース）が存在する|d.鎮痛作用が強い|e.大豆アレルギーは禁忌である,a&b,プロポフォールは半減期が短く調節性に優れますが、呼吸・循環抑制があり、拮抗薬がないため慎重な管理が必要です。製剤に含まれる添加物により大豆・卵アレルギーは禁忌（または慎重投与）です。
オピオイド鎮痛薬（ペチジン等）の使用について正しい記述はどれか。2つ選べ。,薬理,a.鎮痛作用を目的として使用する|b.拮抗薬はナロキソンである|c.呼吸抑制は起こらない|d.制吐作用がある|e.前立腺肥大症には禁忌である,a&b,ペチジンは鎮痛効果があり、副作用として呼吸抑制、悪心・嘔吐があります。拮抗薬はナロキソンです。抗コリン薬と異なり緑内障や前立腺肥大への禁忌はありません。
抗血栓薬の休薬・継続ガイドラインについて正しい記述はどれか。2つ選べ。,薬理,a.アスピリン単剤での粘膜生検は休薬不要である|b.ワルファリン服用者のESDはヘパリン置換等を考慮する|c.DOAC服用者は休薬なしでESDが可能である|d.すべての内視鏡検査で休薬が必要である|e.ポリペクトミーは抗血栓薬継続下で行うのが原則である,a&b,出血低リスク手技（生検等）は単剤なら休薬不要。高リスク手技（ESD/EMR）では、ワルファリンはヘパリン置換、DOACは当日休薬などの対策が必要です。
鎮痙薬の使い分けについて正しい記述はどれか。2つ選べ。,薬理,a.ブチルスコポラミンは緑内障・前立腺肥大症に禁忌である|b.グルカゴンは抗コリン作用を持たないため代替薬となる|c.グルカゴンは低血糖を引き起こす|d.ブチルスコポラミンは心房細動を誘発しやすい|e.すべての症例で鎮痙薬を使用しなければならない,a&b,抗コリン薬（ブスコパン）は禁忌が多いため、該当患者には平滑筋弛緩作用を持つグルカゴンを用います。グルカゴンは高血糖や悪心のリスクがあります。
局所麻酔薬リドカインの中毒について正しい記述はどれか。2つ選べ。,薬理,a.初期症状として興奮・多弁・舌のしびれ等がある|b.重症化すると意識消失・徐脈・呼吸停止に至る|c.高齢者では代謝が早いため増量する|d.ショック（アナフィラキシー）と同じ病態である|e.治療薬としてアドレナリン静注が第一選択である,a&b,血中濃度上昇による中枢神経・循環器毒性です。高齢者は代謝能が低くリスクが高いため減量します。アナフィラキシーとは異なります。
早期胃癌に対する内視鏡的粘膜下層剥離術（ESD）の適応病変はどれか。2つ選べ。,処置,a.2cmを超える潰瘍のない分化型粘膜内癌|b.3cm未満の潰瘍のある分化型粘膜内癌|c.リンパ節転移が疑われる病変|d.遠隔転移のある進行癌|e.筋層まで深く浸潤した癌,a&b,リンパ節転移の可能性が極めて低い早期癌（主に粘膜内癌）が適応です。UL(-)ならサイズ問わず、UL(+)なら3cm以下などがガイドライン上の適応です。
内視鏡的乳頭括約筋切開術（EST）の合併症予防について正しい記述はどれか。2つ選べ。,処置,a.切開方向は11時〜12時方向を遵守する|b.術後のNSAIDs坐剤投与が膵炎予防に有効である|c.切開は3時〜4時方向に行う|d.予防的抗菌薬投与は行わない|e.術後すぐに食事を開始する,a&b,乳頭の解剖学的構造から11-12時方向が安全域です。ERCP後膵炎予防にはNSAIDs投与と十分な輸液が推奨されています。
消化管出血に対する内視鏡的止血術の分類として正しい記述はどれか。2つ選べ。,処置,a.クリップ法は機械的止血法である|b.アルゴンプラズマ凝固法（APC）は熱凝固法である|c.高張Naエピネフリン局注は機械的止血法である|d.純エタノール局注は熱凝固法である|e.EVL（結紮術）は薬剤止血法である,a&b,クリップや結紮（EVL）は機械的、APCや高周波鉗子は熱凝固、薬剤局注（HSE, エタノール）は薬剤的止血法に分類されます。
経皮内視鏡的胃瘻造設術（PEG）の禁忌について正しい記述はどれか。2つ選べ。,処置,a.大量の腹水貯留がある|b.内視鏡が通過できない咽頭・食道狭窄がある|c.脳血管障害による嚥下障害がある|d.長期経腸栄養管理が必要な場合|e.認知症による摂食障害がある,a&b,胃壁と腹壁を密着できない大量腹水例や、内視鏡を挿入できない狭窄例は造設不可能です。c,d,eは造設の適応となり得ます。
コールドポリペクトミー（CSP）の利点として正しい記述はどれか。2つ選べ。,処置,a.通電しないため深部熱損傷がない|b.遅発性出血や穿孔のリスクが低い|c.2cm以上の大きな病変に適している|d.ペースメーカー患者には禁忌である|e.抗血栓薬休薬が必須である,a&b,CSPは機械的切断のみで熱を加えないため、穿孔や遅発性出血のリスクが低く、抗血栓薬服用者やペースメーカー患者にも安全に施行しやすいです。適応は通常10mm未満です。
スポルディングの分類と消毒レベルについて正しい記述はどれか。2つ選べ。,管理,a.内視鏡スコープはセミクリティカル器具であり高水準消毒を行う|b.生検鉗子はクリティカル器具であり滅菌を行う|c.粘膜に接触する器具は低水準消毒でよい|d.高水準消毒薬には塩化ベンザルコニウムが含まれる|e.アルコールは高水準消毒薬である,a&b,粘膜に接触するスコープはセミクリティカル（高水準消毒）、粘膜を破る鉗子はクリティカル（滅菌）。ベンザルコニウムは低水準、アルコールは中水準です。
高水準消毒薬「過酢酸」の特徴として正しい記述はどれか。2つ選べ。,管理,a.タンパク凝固作用がない|b.分解産物は無害（水・酸素・酢酸）である|c.金属腐食性が非常に強い|d.芽胞には無効である|e.使用時に遮光が必要である,a&b,過酢酸はタンパク凝固がなく洗浄性に優れ、環境負荷も低い高水準消毒薬です。
高水準消毒薬「フタラール」の特徴として正しい記述はどれか。2つ選べ。,管理,a.タンパク質を黒色に着色させる性質がある|b.グルタラールに比べて揮発性が低い|c.芽胞に対する殺菌効果が非常に速い|d.粘膜刺激性が全くない|e.中水準消毒薬である,a&b,フタラールは揮発性が低く刺激臭が少ないですが、タンパク着色性があります。芽胞への効力はグルタラールや過酢酸より劣ります（遅い）。
内視鏡洗浄時の「ベッドサイド洗浄（プレクリーニング）」について正しい記述はどれか。2つ選べ。,管理,a.検査終了直後に行う必要がある|b.酵素洗剤液を吸引し管路内を洗浄する|c.乾燥させてから行う|d.外表面の清拭は不要である|e.水だけで行う,a&b,汚染物の乾燥固着を防ぐため、検査直後に酵素洗剤を用いて管路吸引・送気送水・表面清拭を行うことが必須です。
医療安全管理「タイムアウト」の実施について正しい記述はどれか。2つ選べ。,管理,a.処置開始直前にチーム全員で手を止めて行う|b.患者ID、氏名、術式、部位等を声出し確認する|c.医師のみが心の中で確認すればよい|d.検査終了後の片付け時に行う|e.緊急時は省略してよい,a&b,患者誤認や部位誤認、術式間違いを防ぐため、処置直前に全員で情報を共有・確認するプロセスです。
内視鏡検査における感染管理（ゾーニング）について正しい記述はどれか。2つ選べ。,管理,a.洗浄室は汚染区域とみなす|b.個人防護具（PPE）は汚染区域内で脱いでから退出する|c.清潔区域と汚染区域の動線は交差してよい|d.使用済みスコープはそのまま保管庫に戻す|e.検査室の床は清潔区域である,a&b,洗浄室は汚染区域（レッドゾーン）です。PPEは汚染を拡散させないよう、区域内で脱衣・廃棄します。動線分離が重要です。
針刺し事故発生時の対応について正しい記述はどれか。2つ選べ。,管理,a.直ちに流水と石鹸で十分に洗浄する|b.血液を無理に絞り出さずに洗浄する|c.消毒用エタノールに30分浸漬する|d.当事者間で解決し報告はしない|e.デクスメデトミジンを服用する,a&b,初期対応は流水と石鹸による十分な洗浄です。組織損傷を防ぐため無理な絞り出しや強力な消毒薬浸漬は推奨されません。必ず上司・責任者に報告します。
胃内視鏡検査の前処置薬の使用目的について正しい記述はどれか。2つ選べ。,処置,a.プロナーゼ（タンパク分解酵素）は粘液を溶解し視認性を高める|b.ジメチコン（消泡剤）は泡を除去する|c.重曹（炭酸水素ナトリウム）は粘液溶解を補助する|d.キシロカインビスカスは胃の蠕動を止める|e.すべての患者に鎮静薬を使用する,a&b,プロナーゼ、ジメチコン、重曹などを混和した液を服用し、胃内の粘液や泡を除去して微細病変の発見率を高めます。キシロカインは咽頭麻酔です。
消化管アミロイドーシスの内視鏡所見はどれか。2つ選べ。,臨床,a.微細顆粒状粘膜|b.易出血性（紫斑形成）|c.敷石像|d.多発性潰瘍|e.黒色メラノーシス,a&b,アミロイド蛋白沈着により粘膜が脆くなり、微細顆粒状変化や、接触による出血・紫斑が見られるのが特徴です。
胆石症の種類と特徴について正しい記述はどれか。2つ選べ。,臨床,a.コレステロール結石が最も頻度が高い|b.黒色石は溶血性貧血などで見られる|c.ビリルビンカルシウム石は胆管内にはできない|d.脂肪酸カルシウム石が最も多い|e.胆石はすべてレントゲンで写る,a&b,食生活の変化によりコレステロール石が最多です。黒色石はビリルビン過剰（溶血等）で生じます。X線陽性なのは石灰化を含む一部の結石のみです。
大腸内視鏡検査の前処置（洗腸）について正しい記述はどれか。2つ選べ。,処置,a.排泄液が透明になるまで洗腸剤を服用する|b.腸閉塞の疑いがある患者には禁忌である|c.前日は高脂肪・高繊維食を摂取する|d.脱水を防ぐため水分摂取を制限する|e.腹痛が出現しても全量飲みきる,a&b,観察可能な状態（透明排液）まで洗浄します。閉塞疑いでは穿孔リスクがあるため禁忌。前日は低残渣食とし、異常時は中止します。
内視鏡的異物除去術において緊急性が高いものはどれか。2つ選べ。,処置,a.ボタン型電池（食道内）|b.鋭利な異物（PTPシート、針など）|c.小さなビー玉（胃内）|d.パチンコ玉（胃内）|e.果物の種,a&b,ボタン電池は放電による穿孔、鋭利物は穿通のリスクが高いため、緊急内視鏡の絶対適応です。丸く小さなものは自然排出を待つこともあります。
機能性ディスペプシア（FD）について正しい記述はどれか。2つ選べ。,臨床,a.内視鏡検査で器質的異常を認めない|b.胃もたれや早期満腹感などの症状がある|c.胃癌が原因である|d.必ず外科手術が必要である|e.ピロリ菌感染が必須である,a&b,FDは症状があるにも関わらず、潰瘍や癌などの器質的異常が見つからない疾患群です。薬物療法などが選択されます。
内視鏡室の電気安全について正しい記述はどれか。2つ選べ。,管理,a.医用電気機器は3Pプラグ（接地極付き）を使用する|b.漏れ電流によるミクロショック対策を行う|c.アースは接続しなくてよい|d.タコ足配線を推奨する|e.機器の点検は故障してから行う,a&b,患者に直接触れる機器が多いため、漏れ電流による電撃（ミクロショック等）を防ぐための接地（アース）と定期点検が必須です。
インフォームド・コンセント（IC）について正しい記述はどれか。2つ選べ。,管理,a.患者が説明を理解し、自由意志で同意すること|b.同意はいつでも撤回可能である|c.医療者が治療方針を独断で決定すること|d.家族への説明だけで十分である|e.同意書にサインしたら法的拘束力がある,a&b,ICは患者の自己決定権を保障するプロセスであり、十分な説明と理解に基づく同意、および撤回の自由が基本です。
脂肪肝の超音波所見について正しい記述はどれか。2つ選べ。,臨床,a.肝腎コントラストが増強する（肝が白く見える）|b.深部減衰が見られる|c.肝表面が凹凸不整になる|d.門脈が拡張する|e.腹水が貯留する,a&b,脂肪沈着によりエコーレベルが上昇して腎皮質より白く見え（ブライトレバー）、超音波の減衰により深部が暗くなります。c,d,eは肝硬変の所見です。
内視鏡的粘膜切除術（EMR）の手技について正しい記述はどれか。2つ選べ。,処置,a.粘膜下層に生理食塩水等を局注し病変を挙上させる|b.スネアで病変を絞扼し高周波通電で切除する|c.局注せずにそのまま切除する|d.通電せずに引きちぎる|e.病変の表面だけを焼灼する,a&b,EMRは局注による挙上（リフティング）を作り、安全にスネアリングして切除する手技です。局注により穿孔リスクを低減します。
内視鏡的逆行性胆管膵管造影（ERCP）の偶発症について正しい記述はどれか。2つ選べ。,処置,a.急性膵炎が最も頻度が高い|b.高アミラーゼ血症は必ずしも膵炎ではない|c.胆管炎は予防的抗菌薬で完全に防げる|d.出血は術後1週間以上経過してから起こることはない|e.穿孔は起こり得ない,a&b,ERCP後膵炎は最も重要な偶発症。一過性のアミラーゼ上昇のみで腹痛がない場合は膵炎と診断されません。遅発性出血や穿孔も起こり得ます。
胃癌検診ガイドラインで推奨される検査法はどれか。2つ選べ。,臨床,a.胃部X線検査（バリウム）|b.胃内視鏡検査|c.腫瘍マーカー検査|d.ペプシノゲン法単独|e.腹部超音波検査,a&b,対策型検診として死亡率減少効果が示されているのは、胃部X線検査と胃内視鏡検査です。
食道静脈瘤硬化療法（EIS）で使用される硬化剤はどれか。2つ選べ。,処置,a.エタノールアミンオレート（EO）|b.ポリドカスクレロール（Aethoxysklerol）|c.生理食塩水|d.インジゴカルミン|e.ヒアルロン酸ナトリウム,a&b,EISでは血管内皮障害作用を持つEOや、界面活性作用を持つポリドカスクレロールを注入し、血栓形成・線維化により静脈瘤を消失させます。
MRI検査における内視鏡関連の禁忌について正しい記述はどれか。2つ選べ。,管理,a.磁性体を含むクリップが体内に残存している場合|b.カプセル内視鏡が体内に滞留している場合|c.チタン製クリップ（非磁性体）の場合|d.プラスチックステントの場合|e.生検を行った直後,a&b,磁性体（鉄など）は磁場に引き寄せられたり発熱したりするため危険です。カプセル内視鏡も電子機器・電池を含むため絶対禁忌です。
胃内視鏡検査の咽頭麻酔について正しい記述はどれか。2つ選べ。,処置,a.咽頭反射（嘔吐反射）を抑制する目的で行う|b.リドカイン中毒（ショック等）に注意する|c.検査後すぐに飲食が可能である|d.全身麻酔薬を使用する|e.意識を消失させる,a&b,咽頭の知覚を麻痺させて苦痛と反射を和らげますが、リドカインの吸収による全身毒性（ショック・中毒）のリスク管理が必要です。検査後は誤嚥防止のため麻酔が切れるまで飲食禁止です。
食道癌のリスクファクターとして重要なものはどれか。2つ選べ。,臨床,a.喫煙|b.過度のアルコール摂取|c.高脂血症|d.ヘリコバクター・ピロリ感染|e.高尿酸血症,a&b,食道扁平上皮癌の主要なリスク因子は喫煙と飲酒です。特にアルコール代謝酵素（ALDH2）活性が低い人での飲酒はリスクを高めます。
大腸ポリープの内視鏡治療適応となる病変の特徴はどれか。2つ選べ。,臨床,a.径6mm以上の腺腫|b.癌との鑑別が困難な病変|c.5mm以下の微小な過形成性ポリープ|d.直腸の完全な良性ポリープ|e.炎症性ポリープ,a&b,ガイドラインでは原則として6mm以上の腺腫や、サイズに関わらず癌が否定できない病変、有茎性病変などが治療適応とされています。
内視鏡的止血術のうち「熱凝固法」に分類されるものはどれか。2つ選べ。,処置,a.高周波凝固法（止血鉗子）|b.アルゴンプラズマ凝固法（APC）|c.クリップ法|d.局注法|e.結紮法,a&b,電気エネルギーやプラズマを用いて熱で組織を凝固させる方法です。クリップや結紮は機械的、局注は薬剤的止血法です。